"Date","Tweet","Location","Retweets","Link to tweet"
"11-02-2020","a kilo of farmed  was responsible for almost four times the -gas  of a kilo of beef. Read how artificial shrimps could stop this!     https//t.co/wBXqmtJIpI","California ","0","https://twitter.com/csucoast/status/1226919824393228289"
"10-02-2020","Petroleum companies are coming under increasing pressure from investors, regulators & consumers on their   footprints. Our latest  report looks at the challenges & how energy companies are responding to concerns. https//t.co/yfr03rmgGl    https//t.co/uFNgnVkAvd","Global","0","https://twitter.com/DWF_Law/status/1226838628531392512"
"10-02-2020","  The stuff we consume is responsible for up to 60% of global  gas  and between 50 and 80% of total ...","Dunholme Villa, Park Campus","44","https://twitter.com/UniGlosSustain/status/1226831955305664514"
"10-02-2020","  Record-breaking concerns.  What more should your country do to reduce  gas emissions?  Read more https//t.co...","Cambridge, England","2","https://twitter.com/unepwcmc/status/1226812177044168706"
"10-02-2020","  The stuff we consume is responsible for up to 60% of global  gas  and between 50 and 80% of total ...","Sydney","44","https://twitter.com/lianerossler/status/1226790768183898112"
"10-02-2020","  The stuff we consume is responsible for up to 60% of global  gas  and between 50 and 80% of total ...","Brisbane, Queensland","44","https://twitter.com/DrRimmer/status/1226787292087345154"
"10-02-2020","Record-breaking concerns.  What more should your country do to reduce  gas emissions?  Read more https//t.co/XaZwX9fBje v/             https//t.co/XPQ5YGAarH","South East, England","2","https://twitter.com/GWillmer_PwC/status/1226757016120676352"
"10-02-2020","  The stuff we consume is responsible for up to 60% of global  gas  and between 50 and 80% of total ..."," ","44","https://twitter.com/MHermosillaD/status/1226732950148042758"
"10-02-2020","    Who Discovered the  Gas Effect Was Forgotten by History        htt...","Berlin, Deutschland","4","https://twitter.com/femtech_/status/1226629039470915588"
"10-02-2020","   transport emits around 1 billion tonnes of CO2 each year, which represents around 2.5 % of global  gas em...","en tierra, al Sur","8","https://twitter.com/Off_Valpo/status/1226547635089281024"
"09-02-2020","  $1-1.9trn of capital investment in land-based and ship-related infrastructure will be required to halve international shippin...","","2","https://twitter.com/LowSulfurBunker/status/1226525702922612740"
